Id,SalePrice
1803,1
1804,1
1805,1
1806,1
1807,1
1808,0
1809,1
1810,1
1811,1
1812,1
1813,1
1814,1
1815,1
1816,1
1817,1
1818,1
1819,1
1820,1
1821,1
1822,1
1823,1
1824,1
1825,1
1826,1
1827,1
1828,1
1829,1
1830,1
1831,1
1832,1
1833,1
1834,1
1835,1
1836,1
1837,1
1838,1
1839,1
1840,0
1841,0
1842,1
1843,0
1844,1
1845,0
1846,0
1847,0
1848,1
1849,0
1850,1
1851,1
1852,1
1853,1
1854,0
1855,0
1856,0
1857,0
1858,1
1859,1
1860,1
1861,1
1862,0
1863,1
1864,1
1865,0
1866,0
1867,1
1868,0
1869,1
1870,1
1871,0
1872,0
1873,0
1874,1
1875,0
1876,1
1877,0
1878,0
1879,0
1880,1
1881,0
1882,0
1883,1
1884,0
1885,0
1886,0
1887,1
1888,1
1889,0
1890,0
1891,1
1892,1
1893,0
1894,0
1895,0
1896,1
1897,1
1898,1
1899,1
1900,1
1901,0
1902,0
1903,1
1904,1
1905,0
1906,0
1907,0
1908,1
1909,1
1910,1
1911,0
1912,0
1913,1
1914,1
1915,1
1916,0
1917,1
1918,1
1919,1
1920,0
1921,0
1922,0
1923,1
1924,0
1925,1
1926,0
1927,0
1928,0
1929,1
1930,1
1931,1
1932,1
1933,1
1934,1
1935,1
1936,1
1937,0
1938,0
1939,1
1940,1
1941,0
1942,0
1943,1
1944,0
1945,0
1946,3
1947,1
1948,3
1949,0
1950,0
1951,0
1952,0
1953,0
1954,1
1955,1
1956,0
1957,1
1958,0
1959,1
1960,1
1961,1
1962,1
1963,1
1964,1
1965,1
1966,1
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,1
1974,0
1975,0
1976,0
1977,0
1978,0
1979,1
1980,0
1981,1
1982,1
1983,1
1984,1
1985,1
1986,1
1987,1
1988,1
1989,1
1990,1
1991,1
1992,1
1993,1
1994,0
1995,1
1996,1
1997,0
1998,0
1999,0
2000,0
2001,1
2002,0
2003,1
2004,1
2005,1
2006,1
2007,0
2008,1
2009,1
2010,0
2011,0
2012,1
2013,1
2014,1
2015,0
2016,1
2017,1
2018,1
2019,1
2020,1
2021,1
2022,0
2023,0
2024,1
2025,0
2026,1
2027,1
2028,1
2029,1
2030,1
2031,1
2032,1
2033,1
2034,1
2035,0
2036,1
2037,1
2038,1
2039,0
2040,0
2041,0
2042,1
2043,0
2044,0
2045,0
2046,1
2047,1
2048,1
2049,0
2050,0
2051,1
2052,1
2053,0
2054,1
2055,1
2056,1
2057,1
2058,0
2059,1
2060,1
2061,0
2062,1
2063,0
2064,1
2065,0
2066,0
2067,1
2068,0
2069,1
2070,1
2071,1
2072,0
2073,1
2074,0
2075,0
2076,1
2077,1
2078,1
2079,1
2080,1
2081,1
2082,1
2083,1
2084,1
2085,1
2086,1
2087,1
2088,1
2089,1
2090,1
2091,0
2092,1
2093,1
2094,1
2095,0
2096,1
2097,1
2098,1
2099,1
2100,0
2101,1
2102,1
2103,1
2104,1
2105,1
2106,0
2107,0
2108,1
2109,1
2110,1
2111,1
2112,1
2113,1
2114,1
2115,1
2116,1
2117,1
2118,1
2119,1
2120,1
2121,1
2122,1
2123,1
2124,1
2125,1
2126,1
2127,1
2128,1
2129,1
2130,1
2131,1
2132,1
2133,1
2134,1
2135,1
2136,1
2137,1
2138,0
2139,0
2140,1
2141,1
2142,1
2143,1
2144,0
2145,1
2146,0
2147,0
2148,1
2149,1
2150,0
2151,1
2152,0
2153,1
2154,1
2155,1
2156,1
2157,1
2158,0
2159,0
2160,0
2161,1
2162,0
2163,0
2164,0
2165,0
2166,1
2167,1
2168,0
2169,1
2170,0
2171,0
2172,1
2173,0
2174,1
2175,1
2176,0
2177,0
2178,0
2179,1
2180,1
2181,1
2182,0
2183,1
2184,1
2185,0
2186,1
2187,1
2188,1
2189,3
2190,1
2191,1
2192,1
2193,0
2194,1
2195,1
2196,1
2197,1
2198,1
2199,1
2200,1
2201,0
2202,1
2203,1
2204,0
2205,1
2206,1
2207,1
2208,0
2209,0
2210,1
2211,1
2212,1
2213,1
2214,1
2215,1
2216,1
2217,0
2218,1
2219,1
2220,1
2221,1
2222,1
2223,0
2224,0
2225,1
2226,1
2227,1
2228,0
2229,0
2230,1
2231,0
2232,0
2233,0
2234,0
2235,1
2236,0
2237,0
2238,1
2239,1
2240,1
2241,0
2242,1
2243,1
2244,1
2245,1
2246,0
2247,1
2248,1
2249,1
2250,0
2251,3
2252,0
2253,1
2254,1
2255,1
2256,1
2257,1
2258,1
2259,1
2260,0
2261,1
2262,1
2263,0
2264,3
2265,3
2266,1
2267,0
2268,0
2269,0
2270,0
2271,0
2272,0
2273,0
2274,1
2275,0
2276,1
2277,1
2278,1
2279,1
2280,0
2281,1
2282,0
2283,1
2284,1
2285,1
2286,1
2287,0
2288,0
2289,0
2290,0
2291,0
2292,0
2293,0
2294,0
2295,0
2296,0
2297,1
2298,0
2299,0
2300,0
2301,0
2302,1
2303,1
2304,0
2305,1
2306,1
2307,1
2308,1
2309,1
2310,1
2311,1
2312,0
2313,1
2314,0
2315,1
2316,1
2317,0
2318,1
2319,1
2320,1
2321,1
2322,1
2323,0
2324,0
2325,0
2326,0
2327,1
2328,1
2329,1
2330,1
2331,0
2332,0
2333,0
2334,0
2335,0
2336,1
2337,1
2338,0
2339,0
2340,0
2341,1
2342,1
2343,1
2344,1
2345,1
2346,1
2347,1
2348,1
2349,1
2350,0
2351,1
2352,0
2353,0
2354,1
2355,1
2356,0
2357,1
2358,0
2359,1
2360,1
2361,1
2362,0
2363,0
2364,0
2365,1
2366,1
2367,1
2368,1
2369,1
2370,1
2371,1
2372,1
2373,1
2374,1
2375,1
2376,0
2377,0
2378,0
2379,1
2380,1
2381,0
2382,0
2383,1
2384,0
2385,0
2386,0
2387,1
2388,0
2389,1
2390,0
2391,1
2392,1
2393,1
2394,1
2395,1
2396,0
2397,0
2398,0
2399,1
2400,1
2401,1
2402,1
2403,1
2404,1
2405,1
2406,1
2407,1
2408,1
2409,1
2410,1
2411,1
2412,0
2413,1
2414,0
2415,1
2416,0
2417,1
2418,1
2419,1
2420,1
2421,1
2422,0
2423,0
2424,0
2425,0
2426,1
2427,0
2428,1
2429,1
2430,1
2431,1
2432,1
2433,1
2434,1
2435,1
2436,1
2437,1
2438,1
2439,1
2440,1
2441,1
2442,1
2443,1
2444,1
2445,1
2446,1
2447,1
2448,1
2449,1
2450,1
2451,1
2452,0
2453,1
2454,0
2455,1
2456,1
2457,1
2458,1
2459,1
2460,1
2461,1
2462,1
2463,1
2464,1
2465,1
2466,1
2467,1
2468,1
2469,1
2470,0
2471,1
2472,1
2473,1
2474,1
2475,0
2476,1
2477,0
2478,0
2479,0
2480,0
2481,0
2482,1
2483,1
2484,1
2485,1
2486,0
2487,0
2488,1
2489,0
2490,0
2491,1
2492,0
2493,0
2494,0
2495,0
2496,0
2497,0
2498,1
2499,0
2500,1
2501,1
2502,0
2503,1
2504,0
2505,1
2506,1
2507,1
2508,1
2509,0
2510,1
2511,1
2512,1
2513,1
2514,0
2515,0
2516,1
2517,1
2518,0
2519,0
2520,0
2521,1
2522,1
2523,0
2524,1
2525,1
2526,1
2527,0
2528,1
2529,1
2530,1
2531,0
2532,1
2533,1
2534,0
2535,0
2536,0
2537,0
2538,1
2539,1
2540,1
2541,1
2542,1
2543,1
2544,1
2545,0
2546,1
2547,1
2548,1
2549,1
2550,3
2551,1
2552,1
2553,1
2554,1
2555,1
2556,1
2557,1
2558,0
2559,1
2560,1
2561,1
2562,1
2563,1
2564,1
2565,0
2566,1
2567,1
2568,0
2569,0
2570,1
2571,0
2572,1
2573,0
2574,0
2575,1
2576,1
2577,1
2578,1
2579,0
2580,1
2581,1
2582,1
2583,1
2584,0
2585,1
2586,0
2587,1
2588,1
2589,1
2590,1
2591,0
2592,1
2593,1
2594,1
2595,1
2596,0
2597,1
2598,0
2599,0
2600,3
2601,1
2602,1
2603,1
2604,1
2605,1
2606,1
2607,0
2608,3
2609,1
2610,1
2611,0
2612,0
2613,0
2614,1
2615,0
2616,0
2617,0
2618,3
2619,0
2620,1
2621,0
2622,1
2623,0
2624,0
2625,0
2626,1
2627,1
2628,0
2629,0
2630,0
2631,0
2632,0
2633,1
2634,0
2635,1
2636,0
2637,1
2638,1
2639,0
2640,1
2641,1
2642,1
2643,1
2644,1
2645,1
2646,1
2647,1
2648,1
2649,1
2650,1
2651,1
2652,0
2653,0
2654,0
2655,0
2656,0
2657,1
2658,0
2659,0
2660,0
2661,0
2662,0
2663,0
2664,1
2665,1
2666,1
2667,1
2668,1
2669,0
2670,0
2671,1
2672,1
2673,1
2674,1
2675,1
2676,1
2677,1
2678,0
2679,1
2680,1
2681,1
2682,1
2683,0
2684,1
2685,0
2686,0
2687,0
2688,0
2689,1
2690,0
2691,1
2692,1
2693,0
2694,0
2695,1
2696,1
2697,1
2698,1
2699,1
2700,1
2701,1
2702,1
2703,1
2704,1
2705,1
2706,1
2707,1
2708,0
2709,1
2710,1
2711,0
2712,0
2713,1
2714,1
2715,1
2716,1
2717,1
2718,1
2719,0
2720,1
2721,1
2722,1
2723,1
2724,1
2725,1
2726,1
2727,1
2728,1
2729,1
2730,0
2731,1
2732,1
2733,1
2734,0
2735,1
2736,1
2737,1
2738,1
2739,0
2740,1
2741,1
2742,1
2743,1
2744,1
2745,1
2746,0
2747,1
2748,1
2749,0
2750,0
2751,0
2752,0
2753,0
2754,0
2755,1
2756,1
2757,0
2758,1
2759,1
2760,0
2761,1
2762,1
2763,0
2764,0
2765,0
2766,0
2767,1
2768,1
2769,1
2770,1
2771,1
2772,1
2773,1
2774,1
2775,1
2776,1
2777,1
2778,1
2779,1
2780,1
2781,1
2782,1
2783,1
2784,1
2785,1
2786,1
2787,1
2788,1
2789,1
2790,1
2791,1
2792,1
2793,0
2794,1
2795,1
2796,0
2797,3
2798,1
2799,1
2800,1
2801,1
2802,0
2803,0
2804,0
2805,1
2806,1
2807,1
2808,0
2809,1
2810,1
2811,1
2812,1
2813,1
2814,1
2815,0
2816,0
2817,0
2818,0
2819,1
2820,1
2821,1
2822,0
2823,0
2824,0
2825,0
2826,0
2827,1
2828,0
2829,1
2830,0
2831,1
2832,0
2833,0
2834,0
2835,1
2836,1
2837,0
2838,0
2839,0
2840,1
2841,1
2842,0
2843,1
2844,1
2845,1
2846,1
2847,1
2848,0
2849,1
2850,0
2851,0
2852,0
2853,0
2854,1
2855,1
2856,1
2857,1
2858,1
2859,1
2860,1
2861,0
2862,1
2863,1
2864,0
2865,1
2866,1
2867,1
2868,1
2869,1
2870,0
2871,1
2872,1
2873,0
2874,0
2875,1
2876,1
2877,1
2878,1
2879,1
2880,1
2881,0
2882,0
2883,1
2884,0
2885,0
2886,0
2887,1
2888,1
2889,1
2890,1
2891,1
2892,0
2893,1
2894,1
2895,1
2896,1
2897,0
2898,1
2899,1
2900,0
2901,3
2902,1
2903,0
2904,0
2905,3
2906,1
2907,1
2908,1
2909,0
2910,1
2911,1
2912,0
2913,1
2914,1
2915,1
2916,1
2917,0
2918,1
2919,1
